strain	id	culture_year	edited	allele	condition	transcript	tpm
JU2106	GZ_B10_F7_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	9.85763944816445
JU2106	GZ_B10_G4	2022	FALSE	ALT	JU2106	C41D11.1c.1	10.5790277429142
JU2106	GZ_B10_H1_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1c.1	9.2601275949663
JU2106	GZ_B10_H7	2022	FALSE	ALT	JU2106	C41D11.1c.1	10.6357942019884
JU2106	GZ_B3_D9	2017	FALSE	ALT	JU2106	C41D11.1c.1	12.0553050798387
JU2106	GZ_B5_B8	2017	FALSE	ALT	JU2106	C41D11.1c.1	12.8379348466243
JU2106	GZr_B3_B5	2017	FALSE	ALT	JU2106	C41D11.1c.1	13.7051081343545
JU2141	GZ_B10_A6_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	1.17284507116756
JU2141	GZ_B10_B8_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	0.702841396779427
JU2141	GZ_B10_B9_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	1.85729535837992
JU2141	GZ_B10_C5	2022	FALSE	REF	JU2141	C41D11.1c.1	0.974469639879329
JU2141	GZ_B10_D2_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	1.65413182645205
JU2141	GZ_B10_D8	2022	FALSE	REF	JU2141	C41D11.1c.1	2.74195009210879
JU2141	GZ_B10_E5_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	0.223411646370432
JU2141	GZ_B10_E6_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	1.16268007184426
JU2141	GZ_B10_G5	2022	FALSE	REF	JU2141	C41D11.1c.1	2.3117378544883
JU2141	GZ_B10_H2_ECA3099	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	1.80232059674464
JU2141	GZ_B10_H3_ECA3100	2022	TRUE	ALT	JU2141_edits	C41D11.1c.1	2.10424567903684
JU2141	GZ_B10_H8	2022	FALSE	REF	JU2141	C41D11.1c.1	1.72294992516512
JU2141	GZ_B2_A7	2017	FALSE	REF	JU2141	C41D11.1c.1	1.31179676566012
JU2141	GZ_B4_I1	2017	FALSE	REF	JU2141	C41D11.1c.1	2.21000347985406
JU2141	GZr_B2_D8	2017	FALSE	REF	JU2141	C41D11.1c.1	0.931586633711406
JU3144	GZ_B10_A2_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	0.732875568827699
JU3144	GZ_B10_A3_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	0.491318586061496
JU3144	GZ_B10_B5_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	1.39068716450244
JU3144	GZ_B10_C6	2022	FALSE	REF	JU3144	C41D11.1c.1	2.21422734952523
JU3144	GZ_B10_C8_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	1.23335132021784
JU3144	GZ_B10_C9_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	1.95477341971198
JU3144	GZ_B10_D9	2022	FALSE	REF	JU3144	C41D11.1c.1	1.56898924565516
JU3144	GZ_B10_F3	2022	FALSE	REF	JU3144	C41D11.1c.1	4.00160002213886
JU3144	GZ_B10_F6_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	1.17153248442435
JU3144	GZ_B10_G6	2022	FALSE	REF	JU3144	C41D11.1c.1	0.806214938709076
JU3144	GZ_B10_G8_ECA3096	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	2.7011025461537
JU3144	GZ_B10_G9_ECA3097	2022	TRUE	ALT	JU3144_edits	C41D11.1c.1	1.92697649501533
JU3144	GZ_B10_H9	2022	FALSE	REF	JU3144	C41D11.1c.1	0.745151068333237
JU3144	GZ_B2_F6	2017	FALSE	REF	JU3144	C41D11.1c.1	2.82592111204225
JU3144	GZ_B5_A2	2017	FALSE	REF	JU3144	C41D11.1c.1	1.14974231458672
JU642	GZ_B10_A9	2022	FALSE	ALT	JU642	C41D11.1c.1	9.93830480612391
JU642	GZ_B10_C1_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1c.1	9.99215578521351
JU642	GZ_B10_C2_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1c.1	10.0227592067795
JU642	GZ_B10_C3	2022	FALSE	ALT	JU642	C41D11.1c.1	5.6919984232459
JU642	GZ_B10_D4_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1c.1	9.54512536590141
JU642	GZ_B10_D5_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1c.1	8.25912019045246
JU642	GZ_B10_E8_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1c.1	6.69629907954321
JU642	GZ_B10_E9	2022	FALSE	ALT	JU642	C41D11.1c.1	10.0679198962545
JU642	GZ_B10_G1_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1c.1	10.1766057804932
JU642	GZ_B10_G2_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1c.1	9.64500837209464
JU642	GZ_B10_G3	2022	FALSE	ALT	JU642	C41D11.1c.1	8.42381948975405
JU642	GZ_B10_H4_ECA3101	2022	TRUE	REF	JU642_edits	C41D11.1c.1	10.3702659430031
JU642	GZ_B10_H5_ECA3102	2022	TRUE	REF	JU642_edits	C41D11.1c.1	7.56317697047267
JU642	GZ_B10_H6	2022	FALSE	ALT	JU642	C41D11.1c.1	8.29580999043086
JU642	GZ_B7_A6	2017	FALSE	ALT	JU642	C41D11.1c.1	13.8609619162113
JU642	GZ_B7_D2	2017	FALSE	ALT	JU642	C41D11.1c.1	10.0542559604358
JU642	GZr_B5_I2	2017	FALSE	ALT	JU642	C41D11.1c.1	12.8484111343902
JU2106	GZ_B10_A1_ECA3095	2022	TRUE	REF	JU2106_edits	C41D11.1d.1	2.49509024173527
JU2106	GZ_B10_A4_ECA3098	2022	TRUE	REF	JU2106_edits	C41D11.1d.1	3.932573986438
